,Raptor up,,,,,,,Raptor down,,,,,,,Oncilla down,,,,,,,Oncilla up,,,,,,,,,,,
Call interval,GA,GD,GM,GP,GR,Mean,,GA,GD,GM,GP,GR,Mean,,GA,GD,GM,GP,GR,Mean,,GA,GD,GM,GP,GR,Mean,GB ,1st call interval,Raptor up,Raptor Down,Cat down,Cat up
22-23,0.4289,,2.0234,0.6211,0.5156,0.89725,,3.4648,0.4183,0.5164,1.0477,0.3541,1.16026,,0.2715,0.2185,0.8051,0.5398,0.476,0.46218,,0.2539,0.4572,0.6778,0.3605,1.1696,0.5838,0.1657,,,,,
23-24,2.2516,,1.6951,1.7978,1.0633,1.70195,,1.644,0.3895,0.9348,0.9454,0.8045,0.94364,,0.3064,0.3724,0.1771,0.2828,0.7339,0.37452,,0.3457,0.1997,0.6747,0.6457,0.9507,0.5633,0.9298,,,,,
24-25,0.7995,,1.1764,1.6653,0.2412,0.9706,,1.6121,0.6833,0.8854,1.2117,0.4042,0.95934,,0.2362,0.1542,0.8416,0.5494,0.5211,0.4605,,0.7027,0.1934,0.7733,0.2454,0.9236,0.56768,0.2691,,,,,
25-26,1.3635,,1.2614,4.9436,1.3978,2.241575,,2.3412,0.1632,1.2737,1.8867,3.8113,1.89522,,0.3327,0.6807,0.3994,0.7452,0.6422,0.56004,,0.466,0.6953,0.1288,0.1717,1.3138,0.55512,1.3848,,,,,
26-27,0.4466,,1.0128,0.8463,1.5025,0.95205,,0.8966,0.0831,0.9064,1.9872,3.0691,1.38848,,0.2889,0.7543,0.3078,0.8438,0.3953,0.51802,,0.5977,0.3725,0.636,0.2345,1.2424,0.61662,4.1618,,,,,
27-28,0.5709,,0.7061,1.8471,0.9017,1.00645,,4.662,1.0933,0.4714,1.8578,2.511,2.1191,,0.2834,0.2745,0.1812,0.3949,0.697,0.3662,,0.5554,0.1336,0.551,0.3388,0.6913,0.45402,0.5776,,,,,
28-29,1.7358,,1.0292,1.7984,0.6804,1.31095,,1.4114,0.1474,0.3478,0.5457,1.3958,0.76962,,0.357,0.4163,0.1255,0.3597,0.2378,0.29926,,0.3571,0.4455,0.3711,0.5297,0.2459,0.38986,0.1491,,,,,
29-30,1.0593,,0.8191,1.3802,1.2907,1.137325,,1.143,2.4152,0.8389,0.4167,0.6157,1.0859,,0.2886,0.2258,0.3575,0.4348,0.6569,0.39272,,0.3635,0.454,0.4963,0.2943,1.0784,0.5373,1.5006,,,,,
30 calls,1.02892069,6.730961111,2.741158621,1.270182759,1.391562069,,,2.119689655,1.435372414,1.001113793,1.336548276,3.039831034,,,0.35137931,0.875017241,0.645393103,0.61177931,0.778937931,,,1.674886207,0.648258621,0.9519,1.004275862,1.046410345,,1.53632069,,,,,
1st out,1.042239286,7.020552941,2.78245,1.286525,1.377610714,,,2.150271429,1.401078571,0.861321429,1.291228571,3.03815,,,0.350046429,0.884303571,0.6242,0.619810714,0.763760714,,,0.568442857,0.487982143,0.774939286,0.511921429,1.030492857,,1.481567857,,,,,
